Gene ID,Gene Name,accessory axillary lymph node,adrenal gland,aorta,bone (os femoris),cecum,cerebellum,cerebral cortex,colon,corpora quadrigemina,corpus striatum,diencephalon,epididymis,eyeball,hippocampus,intestinal mucosa,intestine,lung,medulla oblongata,olfactory brain,ovary,pancreas,pituitary gland,prostate,skin,spinal cord,spleen,stomach,submandibular gland,testis,thymus,tongue,urinary bladder,uterus,vagina,vesicular gland
ENSMUSG00000031985,Gnpat,0.5,0.6,36,0.9,,,,,,,0.6,0.5,31,0.8,,,0.9,0.6,,1,,,,0.8,,,,,4,1,0.7,1,,,
ENSMUSG00000031986,Sprtn,1,2,2,3,,2,2,2,1,3,0.8,0.8,0.8,1,1,1,2,1,1,1,,2,2,3,1,2,1,,28,3,2,2,2,2,2
ENSMUSG00000031987,Egln1,2,10,25,14,7,14,16,10,15,16,15,7,25,14,10,11,13,18,15,12,11,10,12,16,19,7,19,8,3,12,50,17,32,23,12
ENSMUSG00000031988,Vps26b,8,13,13,19,11,35,33,13,27,30,30,20,20,33,11,11,16,23,24,17,10,21,25,19,24,11,12,10,6,17,17,14,17,15,29
ENSMUSG00000031990,Jam3,5,18,9,,4,8,11,2,14,13,12,2,2,10,,1,4,15,8,18,4,20,3,1,16,2,7,,12,,5,18,7,5,4
ENSMUSG00000031991,Spata19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,,,,,,
ENSMUSG00000031994,Adamts8,,,0.6,,,,,,,,,,,0.6,,,3,,,,,,2,,,,,,,0.6,,0.8,2,0.9,0.5
ENSMUSG00000031995,St14,,,,,11,,,17,,,,24,7,,40,23,6,,,3,5,7,12,8,,0.7,15,11,,1,7,8,13,12,22
ENSMUSG00000031996,Aplp2,85,253,612,77,145,287,217,97,256,221,264,74,286,198,182,69,287,282,246,245,58,98,117,236,326,70,184,223,47,43,83,376,123,92,97
ENSMUSG00000032000,Birc3,3,1,1,0.9,,,,0.5,,,,1,,,,,1,,,1,,0.7,2,3,,1,,2,,2,1,2,2,,1
ENSMUSG00000032002,Dcun1d5,93,97,101,110,88,115,124,77,129,143,129,97,88,125,65,98,89,121,94,96,130,114,109,141,117,105,109,89,400,179,136,76,115,123,101
ENSMUSG00000032006,Pdgfd,,6,13,,0.9,2,,,2,0.9,1,3,,1,,,2,3,0.6,6,,3,3,2,6,,2,4,,,1,8,2,,4
ENSMUSG00000032009,Sesn3,36,24,10,4,9,27,38,9,40,55,35,9,48,26,9,6,13,33,33,33,11,52,54,21,38,17,3,28,30,31,19,33,26,32,23
ENSMUSG00000032010,Usp2,,,,0.9,,,0.7,,,,0.5,,2,1,,,,,,,,,,1,,,,,29,,4,,,,
ENSMUSG00000032011,Thy1,0.8,,,,,2,5,,5,5,9,,,4,,,,3,2,,,2,,,3,,,,0.6,8,,,,,
ENSMUSG00000032012,Nectin1,1,3,,,,2,3,0.8,2,1,2,0.8,1,4,1,2,1,2,4,0.9,,1,0.7,13,3,0.5,2,0.6,,1,6,6,0.5,14,0.5
ENSMUSG00000032013,Trim29,,,,,4,,,,,,,5,17,,,,,,,,,,1,180,,,21,10,,8,136,25,0.5,188,2
ENSMUSG00000032014,Oaf,,2,2,0.9,,,,2,,,,0.5,,,2,3,0.7,0.5,,2,1,2,,0.7,,0.8,0.5,,,,0.7,2,2,0.6,
ENSMUSG00000032015,Pou2f3,,,,,2,,,2,,,,,,,,,,,,,,,,45,,,2,,,,2,,,,
ENSMUSG00000032017,Grik4,,1,,,,9,12,,16,10,14,1,,16,,,,12,2,1,,3,,,15,,,,,,,0.8,2,0.9,2
ENSMUSG00000032018,Sc5d,21,39,42,12,44,34,50,82,53,26,41,30,83,43,166,63,37,71,30,60,32,18,17,30,93,8,76,106,10,21,36,38,20,36,59
ENSMUSG00000032020,Ubash3b,3,0.5,,2,,3,0.9,,2,0.5,2,,,0.9,,,0.8,3,2,0.5,1,,,0.7,3,2,,,,0.5,,0.6,0.7,,
ENSMUSG00000032021,Crtam,4,,,,,,,,,,,,,,,,0.6,,,,0.7,,,,,0.7,,,,0.5,,,,,0.5
ENSMUSG00000032024,Clmp,0.9,0.9,4,2,4,6,4,4,3,4,5,,2,2,,4,1,3,7,5,0.7,1,1,8,3,,6,,,0.5,2,15,11,4,2
ENSMUSG00000032026,Rexo2,23,20,26,21,30,15,21,14,18,20,19,20,36,19,4,12,20,27,17,23,74,22,31,19,26,29,28,40,10,11,18,65,30,30,38
ENSMUSG00000032028,Nxpe2,,,,23,,,,,,,,0.5,,,,,,,,,,,,,,49,,,,,,,,,
ENSMUSG00000032030,Cul5,26,22,23,19,11,30,23,17,25,29,22,14,23,33,11,12,14,19,32,20,19,22,14,23,26,15,12,16,22,18,25,17,16,21,12
ENSMUSG00000032033,Barx2,,,,0.9,,,,6,,,,,7,,12,1,,,,2,,,,5,,,,5,,,9,,2,0.9,
ENSMUSG00000032034,Kcnj5,,,,2,,,,,0.6,0.5,,0.8,,,,,,,,,,,,,,0.9,,,,,,,,,
ENSMUSG00000032038,St3gal4,3,2,3,5,4,4,2,16,5,5,6,0.8,0.8,2,24,,8,7,3,9,3,0.7,0.7,2,6,4,,9,2,0.9,2,2,0.9,4,0.5
ENSMUSG00000032040,Dcps,0.5,1,1,,,1,0.5,0.5,3,2,2,2,1,,,,0.9,0.6,3,0.9,,2,1,0.8,2,0.7,1,1,3,,0.5,2,0.5,0.9,2
ENSMUSG00000032042,Srpr,0.5,,,,,,,,,,,0.5,,,,,,,,,1,,1,,0.6,,,3,0.6,,0.5,,,,1
ENSMUSG00000032044,Rpusd4,14,14,6,14,11,6,8,10,9,6,7,12,7,8,9,9,9,9,5,13,9,15,9,7,9,12,4,11,13,13,8,10,12,7,11
ENSMUSG00000032046,Abhd12,40,44,33,38,47,100,180,85,154,169,165,73,32,171,185,44,44,185,115,44,33,41,557,40,176,34,72,69,54,24,18,142,27,26,297
ENSMUSG00000032047,Acat1,29,65,367,49,77,42,51,80,52,45,51,42,137,51,119,65,40,62,43,63,97,51,54,59,56,29,180,62,44,41,151,47,35,33,30
ENSMUSG00000032050,Rdx,1,2,2,,,0.9,1,0.5,1,2,0.8,2,2,2,,0.5,2,1,3,2,1,1,1,3,2,0.7,,1,7,1,2,2,1,2,2
ENSMUSG00000032053,Pou2af1,3,,,0.9,,,,0.5,,,,,,,,,0.6,,,,1,,,,,2,,,,,,,,,
ENSMUSG00000032056,Btg4,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,
ENSMUSG00000032057,4833427G06Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,
ENSMUSG00000032058,Ppp2r1b,17,13,30,22,4,13,7,10,5,4,5,30,25,5,5,6,15,7,6,13,7,15,13,22,5,37,12,17,176,13,9,13,11,23,22
ENSMUSG00000032059,Alg9,,,0.8,1,3,,2,1,2,2,2,0.6,5,3,0.7,,,2,1,0.5,,1,0.9,0.5,2,,1,2,12,,0.8,1,1,1,0.5
ENSMUSG00000032062,2310030G06Rik,,8,7,0.9,22,2,2,34,2,4,2,38,28,3,72,34,25,3,1,8,25,40,29,12,2,,50,31,3,2,8,9,16,13,29
ENSMUSG00000032064,Dixdc1,,,,,,8,,,,0.9,,,,,,,,1,1,,1,0.7,,0.7,0.9,,1,0.6,0.6,,0.5,,0.5,,
ENSMUSG00000032065,Tex12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,
ENSMUSG00000032066,Bco2,,,,,2,,,7,,,,,,,13,3,,,0.6,,,0.7,,,,,,,,,,,,,
ENSMUSG00000032067,Pts,36,21,49,23,22,15,17,26,17,16,23,40,40,20,27,25,31,22,18,32,8,21,31,15,18,23,25,52,8,22,13,33,28,30,27
ENSMUSG00000032068,Plet1,,,,,,,,1,,,,,,,,,4,,,0.6,,,5,,,,3,2,,,,4,2,2,4
ENSMUSG00000032076,Cadm1,52,69,13,63,6,121,239,11,188,181,158,31,141,254,2,8,236,128,116,31,19,221,70,59,128,40,18,35,83,12,17,40,51,52,70
ENSMUSG00000032077,Bud13,27,16,15,16,21,12,13,15,16,16,13,10,16,13,18,19,20,12,14,19,17,19,13,24,11,19,11,17,49,36,16,15,17,15,20
ENSMUSG00000032078,Zpr1,20,18,13,12,11,15,15,11,14,12,15,20,15,13,8,16,14,16,16,23,20,13,21,16,15,19,15,16,138,15,13,16,16,21,17
ENSMUSG00000032080,Apoa4,,,,,,,,10,,,,,,,27,3,,,,,,,,,,,,,,,,,,,
ENSMUSG00000032081,Apoc3,,,,,,,,5,,,,,,,11,9,,,,,,,,,,,,,,,,,,,
ENSMUSG00000032083,Apoa1,,,,,,,,4,,,,,,,6,4,,,,,,,,,,,1,,,,,,,,
ENSMUSG00000032085,Tagln,26,55,581,7,305,4,9,145,8,9,13,84,48,10,5,137,127,23,7,433,17,4,604,42,9,42,916,211,8,13,52,4587,866,528,1017
ENSMUSG00000032089,Il10ra,153,13,8,33,6,3,4,7,4,8,4,4,3,5,3,2,28,4,3,6,1,2,2,9,4,44,4,11,0.6,15,4,9,9,9,7
ENSMUSG00000032091,Tmprss4,,,,,17,,,32,,,,,0.6,,65,31,,,,,,,,7,,,4,,,,2,,2,1,
ENSMUSG00000032092,Mpzl2,1,0.9,13,,13,,0.8,10,1,,0.7,13,9,,4,11,1,2,2,2,3,2,2,14,,,23,4,,2,27,19,11,45,9
ENSMUSG00000032093,Cd3e,4,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,4,,,,,
ENSMUSG00000032094,Cd3d,27,0.9,,2,,,,3,,,,,,,7,0.5,3,,,,1,,,0.8,,5,,0.6,,82,,,,,0.5
ENSMUSG00000032096,Arcn1,62,49,52,45,47,35,32,86,35,35,32,60,56,36,135,109,51,32,37,44,133,60,108,47,42,35,52,89,66,36,44,46,50,50,97
ENSMUSG00000032097,Ddx6,27,17,17,10,9,16,11,14,18,15,15,10,21,15,17,11,16,17,17,14,11,25,14,14,16,16,11,21,14,24,13,21,20,22,10
ENSMUSG00000032098,Treh,,,,,4,,,189,,,,,,,619,209,,,,,,,2,,,,1,1,,,,,,,
ENSMUSG00000032099,Pate4,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,56
ENSMUSG00000032101,Ddx25,,1,,,,4,10,,12,9,7,,0.6,10,,,,9,8,,,4,,,9,,,,34,,,,,,
ENSMUSG00000032103,Pus3,50,14,13,14,6,15,13,12,14,19,14,9,18,13,7,11,16,13,15,24,12,20,13,15,13,17,12,15,1,42,15,17,24,17,15
ENSMUSG00000032105,Pdzd3,,,,,7,,,20,,,,1,,,36,24,,,,,,,,,,,,,,,,,,,
ENSMUSG00000032108,D730048I06Rik,,,,,,,,,,,,1938,,,,,,,,,,,3,,,,,,,,,,,,320
ENSMUSG00000032109,Nlrx1,,2,2,2,,1,,0.5,0.6,1,0.8,2,2,0.8,2,0.5,0.9,1,1,1,1,2,3,3,0.9,1,1,4,,0.9,4,1,2,2,4
ENSMUSG00000032110,Acrv1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,
ENSMUSG00000032112,Trappc4,,4,6,,4,5,3,6,11,4,8,8,3,4,5,6,4,12,5,3,1,4,4,3,8,1,2,3,7,2,3,4,1,2,3
ENSMUSG00000032113,Chek1,,,,2,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.9,,,,,0.5
ENSMUSG00000032114,Slc37a4,,,,,2,,,9,,,,8,,,12,7,,,,,1,,,,,,,,,,,,,,
ENSMUSG00000032115,Hyou1,30,57,36,28,17,30,35,69,44,42,44,121,27,40,66,88,36,42,35,56,263,119,262,20,42,36,24,140,63,24,21,25,51,39,126
ENSMUSG00000032116,Stt3a,146,133,97,96,125,46,47,151,46,40,42,199,88,44,163,218,128,43,45,132,122,191,221,74,52,84,90,193,94,44,71,101,143,114,230
ENSMUSG00000032118,Fez1,,4,4,2,,138,108,,112,117,110,2,4,103,,0.5,1,139,103,2,,13,6,4,155,,,0.6,0.6,,5,5,3,2,6
ENSMUSG00000032119,Hinfp,11,5,4,4,2,10,8,3,5,9,5,6,6,8,20,8,6,6,9,7,17,6,13,8,5,8,5,8,5,7,4,3,5,7,7
ENSMUSG00000032120,C2cd2l,3,16,15,10,21,25,68,69,36,114,42,12,49,68,149,100,12,22,57,9,23,18,15,10,24,12,19,15,1,12,6,12,12,6,23
ENSMUSG00000032121,Tmem218,2,3,2,2,,2,5,1,3,5,4,5,4,3,0.7,2,2,4,3,7,2,8,6,3,4,,1,5,15,2,2,2,3,2,6
ENSMUSG00000032122,Slc37a2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.9,,,,,
ENSMUSG00000032123,Dpagt1,1,1,1,0.9,,0.9,,1,0.6,0.7,0.5,1,0.6,0.7,,1,0.5,0.7,0.6,2,,0.5,1,0.9,1,0.6,2,1,,0.5,1,,2,1,1
ENSMUSG00000032125,Robo4,10,10,15,0.9,2,2,2,4,4,3,3,1,3,2,,2,30,4,4,8,3,7,2,4,3,2,3,2,,0.9,9,7,8,3,4
ENSMUSG00000032126,Hmbs,,0.7,1,50,,,,,,,,0.5,32,,0.7,0.5,,,,0.6,,,0.8,,1,93,,,2,,,,,,0.5
ENSMUSG00000032127,Vps11,27,40,18,19,7,27,39,20,37,28,33,40,24,36,26,15,24,38,36,20,23,39,24,14,36,16,7,23,44,21,17,18,19,18,25
ENSMUSG00000032128,Robo3,,,,,,,2,,0.7,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,
ENSMUSG00000032131,Abcg4,,,,0.9,,5,4,,9,4,8,,0.8,3,,,,8,2,,,,,,9,,,,,,,,,,
ENSMUSG00000032135,Mcam,6,12,75,6,9,11,5,7,10,10,11,8,4,6,2,8,67,19,5,30,7,3,14,20,21,2,24,8,2,3,11,94,27,16,14
ENSMUSG00000032171,Pin1,12,12,7,6,5,13,21,7,17,17,17,11,7,17,7,4,8,19,13,9,11,11,10,8,21,8,6,7,22,10,8,8,8,7,7
ENSMUSG00000032174,Icam5,,,,,,,68,,3,67,14,,,108,,,,0.9,76,,,3,,,1,,,,,,,,,,
ENSMUSG00000032177,Pde4a,,1,3,2,0.9,,0.6,0.5,,,,1,0.9,,,,0.6,0.7,,,3,0.9,,1,0.7,0.7,2,3,,,2,,,,
ENSMUSG00000032178,Ilf3,1,2,0.9,,0.9,4,3,0.6,3,3,3,2,1,3,0.5,0.9,1,2,4,3,2,4,2,3,4,1,0.5,2,11,3,1,1,2,2,2
ENSMUSG00000032179,Bmp5,0.5,,,2,11,2,0.7,8,0.6,0.9,,,,,,2,21,1,2,1,,,,,,,12,,,,5,14,2,,
ENSMUSG00000032180,Tmed1,3,7,6,5,6,4,4,4,4,5,6,7,4,4,,3,4,4,4,9,1,9,6,4,4,3,3,2,1,2,9,6,6,5,3
ENSMUSG00000032181,Scg3,0.5,2,,,0.9,17,16,,10,12,9,,1,12,,0.7,,17,8,,5,29,,,18,,0.5,,,,0.7,,,,
ENSMUSG00000032182,Yipf2,13,16,7,9,19,20,16,15,14,8,15,74,9,13,9,7,17,15,10,17,62,52,84,9,13,8,14,42,17,14,12,15,22,16,93
ENSMUSG00000032184,Lysmd2,5,8,5,2,4,13,18,5,18,15,17,3,5,21,0.7,3,21,19,15,11,1,17,3,8,18,3,9,2,2,4,10,13,10,9,2
ENSMUSG00000032185,Carm1,18,16,19,29,9,10,23,16,23,22,17,8,14,24,8,13,13,19,20,22,9,22,11,17,20,16,11,13,7,7,23,15,27,19,9
ENSMUSG00000032186,Tmod2,,,,,,3,5,,4,7,4,,,2,,,,3,2,,,,,,4,,,,,,,,,,
ENSMUSG00000032187,Smarca4,5,3,3,9,4,6,4,6,5,3,5,4,6,4,6,6,4,5,4,3,5,4,6,6,6,4,2,2,3,4,4,5,5,6,5
ENSMUSG00000032191,Bcl2l10,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
ENSMUSG00000032193,Ldlr,1,3,1,0.9,9,0.9,0.7,1,2,,2,3,0.8,0.6,0.7,2,1,2,2,1,,,2,2,4,0.9,,2,,0.9,2,2,2,2,0.5
ENSMUSG00000032194,Kank2,2,12,17,6,7,4,3,3,3,2,3,3,4,2,0.8,4,27,4,2,22,11,2,5,8,4,2,10,5,2,2,8,35,21,9,6
ENSMUSG00000032198,Dock6,6,20,12,3,15,4,6,14,6,7,4,5,5,7,13,13,29,7,6,19,12,10,3,13,6,4,8,5,25,2,22,12,14,16,6
ENSMUSG00000032199,Polr2m,45,58,56,27,30,56,90,36,105,63,111,70,52,61,27,42,50,107,71,45,57,69,55,60,103,38,39,51,30,32,74,70,61,48,60
ENSMUSG00000032202,Rab27a,5,3,2,4,0.9,1,0.7,1,1,0.5,0.7,,7,0.7,0.7,,6,1,,2,7,13,0.9,0.5,1,3,8,11,,4,1,2,2,5,0.5
ENSMUSG00000032204,Aqp9,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,
ENSMUSG00000032212,Sltm,78,23,29,24,30,32,25,31,21,25,26,17,29,32,31,30,32,21,37,29,36,29,32,74,21,33,36,25,5,48,29,27,28,30,28
ENSMUSG00000032215,Rsl24d1,17,21,16,7,22,22,20,15,21,17,22,17,26,21,8,15,18,26,13,18,19,15,19,18,25,19,23,16,13,25,22,19,17,28,18
ENSMUSG00000032216,Nedd4,106,151,317,57,76,53,141,82,103,118,95,123,200,133,19,65,166,98,93,290,214,123,140,171,87,65,97,161,31,86,131,339,307,211,210
ENSMUSG00000032217,Rnf111,24,11,13,15,12,11,9,11,9,10,7,7,16,9,13,8,11,7,8,11,9,11,9,15,7,9,8,12,5,14,10,11,13,15,9
ENSMUSG00000032218,Ccnb2,9,1,0.7,71,10,,,16,,,,1,0.6,,2,17,4,,,10,1,,,8,0.5,65,17,1,225,41,3,1,4,6,
ENSMUSG00000032220,Myo1e,9,1,2,3,2,0.6,1,6,,0.9,0.6,2,2,0.6,8,1,5,1,,3,1,3,2,15,2,2,1,3,,2,7,3,4,13,2
ENSMUSG00000032221,Mns1,6,1,,8,,,,,0.6,0.5,0.8,0.5,,,,,4,,,2,,1,,1,,15,,,112,23,,,0.6,,0.5
ENSMUSG00000032224,Fam81a,,,,,,,,,,,,,,,0.7,,,,,1,5,,,,,,,,,,,,,,
ENSMUSG00000032226,Gcnt3,,,,,9,,,,,,,,,,,0.8,,,,,,,,,,,1,,,,,,,,
ENSMUSG00000032228,Tcf12,5,1,4,2,,0.9,1,0.5,0.9,2,2,2,2,2,0.7,0.8,2,1,2,3,,1,2,4,2,1,,0.6,2,16,2,2,2,2,2
ENSMUSG00000032231,Anxa2,,2,1,2,2,,,0.5,,,,8,0.8,,,0.8,3,,,1,,1,0.7,2,,0.9,1,,1,4,0.9,2,3,1,0.5
ENSMUSG00000032232,Cgnl1,3,17,53,0.9,5,11,2,1,4,5,4,6,8,4,0.7,0.7,23,11,4,12,23,20,5,8,15,2,8,40,10,1,8,10,30,16,26
ENSMUSG00000032235,Ice2,12,4,5,2,4,6,3,1,3,2,4,5,5,4,2,2,3,4,3,7,7,5,3,4,4,4,2,2,4,5,3,4,5,4,5
ENSMUSG00000032238,Rora,0.6,4,0.5,,,9,2,,5,4,2,0.8,2,2,,,0.5,2,4,1,,3,,0.8,3,,0.5,,,,0.7,0.8,1,0.5,
ENSMUSG00000032239,Rp9,,,,2,,0.7,,,,,,0.6,,,,,,,,,,0.5,,,,,0.5,,99,,,,,,
ENSMUSG00000032243,Itga11,1,1,3,3,0.9,,2,2,0.7,1,,,1,3,,1,0.5,,1,1,,0.9,0.7,4,,1,1,0.9,,,3,7,3,2,1
ENSMUSG00000032244,Fem1b,,,,,,,1,,,0.7,0.5,,,0.9,,,,,0.5,,,,,,0.7,,,,7,,,,,,
ENSMUSG00000032245,Cln6,5,5,5,4,2,3,3,4,3,2,2,7,7,3,,2,8,3,4,6,9,8,8,9,4,4,10,6,2,5,6,9,6,8,4
ENSMUSG00000032246,Calml4,1,3,3,,34,6,,174,1,4,5,9,2,13,317,286,20,3,,9,,2,3,3,1,2,17,,,,2,5,7,4,1
ENSMUSG00000032249,Anp32a,1,,1,,,1,0.8,0.9,,0.5,1,0.5,2,0.7,,,1,0.7,1,0.6,,,,0.7,1,0.8,1,,,1,0.6,0.6,0.5,0.5,0.5
ENSMUSG00000032251,Irak1bp1,1,0.6,3,0.9,,3,0.5,,1,1,1,0.5,0.6,1,,0.5,0.9,0.8,1,2,,1,,1,1,,2,0.6,0.6,0.6,1,3,0.9,1,0.5
ENSMUSG00000032253,Phip,3,3,2,0.9,2,4,4,2,3,3,2,3,2,3,,1,2,2,5,4,0.7,4,2,2,2,3,0.5,2,0.8,3,2,2,3,2,4
ENSMUSG00000032254,Kif23,1,,,1,,,,0.8,,,,,,,,0.8,,,,0.8,,,,0.7,,2,,0.6,5,3,,,,,
ENSMUSG00000032259,Drd2,,,,,,,2,,6,22,3,,,,,,,3,,,,10,,,3,,,,,,,,,,
ENSMUSG00000032263,Bckdhb,6,10,44,3,7,19,12,4,19,12,15,11,8,14,1,6,5,25,13,9,31,12,21,11,18,4,24,17,2,5,13,10,8,5,11
ENSMUSG00000032264,Zw10,6,5,4,15,9,6,2,6,7,5,4,4,4,4,5,5,8,4,5,6,5,10,4,5,5,11,1,7,1,5,5,2,5,7,4
ENSMUSG00000032265,Fam46a,,0.7,1,0.9,,,,0.8,0.6,0.9,0.6,,,0.6,2,,0.6,1,,0.7,,6,2,1,,0.7,2,4,,,,0.8,2,0.9,2
ENSMUSG00000032267,Usp28,5,3,3,4,0.9,10,4,2,3,7,3,1,3,4,5,3,4,2,5,4,,3,3,3,2,2,1,3,4,4,9,2,2,2,3
ENSMUSG00000032268,Tmprss5,,2,,,4,0.9,0.5,0.8,2,2,2,,,0.8,,,,7,2,,,,,,16,,1,0.6,,,0.7,0.6,,,
ENSMUSG00000032269,Htr3a,,1,,,,,0.5,,,,,,,0.8,,0.5,,,1,,,,4,,,,,,,,,1,,0.5,
ENSMUSG00000032271,Nnmt,,,2,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,
ENSMUSG00000032274,Cyp19a1,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,
ENSMUSG00000032278,Paqr5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,419,,,,,,
ENSMUSG00000032279,Idh3a,38,90,838,134,101,126,207,142,191,147,187,35,65,191,104,170,52,230,150,54,25,37,24,63,181,48,134,92,38,57,411,57,45,60,18
ENSMUSG00000032280,Tle3,2,1,1,3,2,,,5,0.6,,,,,,1,0.8,1,,0.6,2,3,,1,7,0.6,3,6,,6,5,8,1,3,8,0.5
ENSMUSG00000032281,Acsbg1,,,,,,,0.8,,1,0.5,1,,11,,,,,1,,,,,,3,1,,0.5,,,,1,0.7,,1,
ENSMUSG00000032285,Dnaja4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
ENSMUSG00000032288,Imp3,32,47,34,19,26,27,31,32,32,36,36,91,38,35,16,25,50,31,40,45,56,73,86,23,32,46,55,57,45,52,42,42,41,35,76
ENSMUSG00000032289,Thsd4,,,0.7,,,0.6,,,,,,,,0.6,,,,0.6,2,,,,,,1,,1,,,,0.7,1,,0.6,
ENSMUSG00000032290,Ptpn9,2,3,2,0.9,2,2,2,1,1,1,2,1,0.8,2,0.7,,3,1,2,2,1,2,2,2,1,1,,2,2,2,1,3,2,2,2
ENSMUSG00000032292,Nr2e3,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
ENSMUSG00000032293,Ireb2,7,3,2,0.9,7,8,6,7,8,7,6,5,7,5,49,10,3,6,5,4,3,3,5,3,6,2,2,2,42,4,2,2,2,2,4
ENSMUSG00000032294,Pkm,72,158,396,317,488,251,416,338,535,484,506,148,399,407,778,422,102,717,246,165,46,205,128,155,602,112,310,126,79,172,519,314,176,356,95
ENSMUSG00000032295,Man2c1,6,12,8,11,7,10,13,7,13,11,10,14,8,15,5,4,11,11,10,10,11,16,18,8,9,5,9,9,28,6,10,12,9,9,11
ENSMUSG00000032297,Celf6,,1,,,,,3,,6,3,7,,0.6,4,,,,3,5,,,10,0.6,,3,,,,2,,,,,,
ENSMUSG00000032299,Commd4,10,9,7,11,10,13,13,13,14,13,13,19,7,15,19,7,10,15,13,8,7,11,7,8,12,13,11,7,5,13,9,10,9,8,8
ENSMUSG00000032300,1700017B05Rik,8,13,5,12,4,,2,8,3,1,4,5,5,2,5,4,4,0.6,,14,1,1,4,3,2,12,1,27,23,7,3,7,21,8,3
ENSMUSG00000032301,Psma4,9,9,10,11,19,4,6,19,5,8,8,10,15,9,10,10,4,8,7,9,12,5,8,10,9,7,11,11,15,5,10,9,9,9,9
ENSMUSG00000032303,Chrna3,,2,,,,,,,1,0.5,0.6,,,,,,,0.8,1,,,,0.7,,,,,,,,,,,,
ENSMUSG00000032305,Fam219b,5,4,2,5,5,4,4,3,3,4,4,3,4,4,0.8,0.9,5,3,6,3,5,6,4,3,4,3,3,2,3,3,2,4,3,3,5
ENSMUSG00000032306,Mpi,,0.6,1,0.9,,3,2,1,2,1,2,0.8,,2,1,1,1,2,2,0.5,,0.5,0.7,0.5,1,,0.5,0.6,31,,0.9,0.7,0.5,,0.8
ENSMUSG00000032307,Ube2q2,1,2,3,0.9,,2,2,1,1,2,1,3,1,1,,1,1,2,2,2,3,1,4,0.7,0.9,1,,2,1,0.9,2,4,2,1,5
ENSMUSG00000032308,Ulk3,0.5,2,2,0.9,2,4,6,4,3,6,2,7,4,3,6,2,3,3,4,2,9,6,2,3,3,1,3,3,2,2,2,4,3,6,5
ENSMUSG00000032309,Fbxo22,25,25,19,15,24,25,26,30,31,26,28,15,37,20,48,33,20,26,19,27,25,27,20,20,27,17,28,16,12,12,18,26,27,17,23
ENSMUSG00000032310,Cyp1a2,,5,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
ENSMUSG00000032311,Nrg4,2,12,312,,2,,,1,,,,1,57,,2,3,3,,,4,3,,,15,,,2,2,,2,1,5,2,2,
ENSMUSG00000032312,Csk,3,,,2,,,,0.5,,,,,,,0.7,,2,,0.6,,1,,,0.7,0.6,2,1,,,4,1,,0.7,0.9,
ENSMUSG00000032313,Tmem266,,,,,,50,1,,1,1,1,,3,0.5,,,,1,5,3,,10,,,0.7,,,,,,,,6,2,
ENSMUSG00000032314,Etfa,32,79,714,61,149,31,21,123,26,25,29,50,102,25,189,133,47,36,23,58,70,45,47,61,32,36,154,96,25,46,173,46,39,102,30
ENSMUSG00000032315,Cyp1a1,,,1,,,,,3,,,,0.8,,,168,,8,,,,5,,,1,,0.5,,,,,0.5,6,,,0.5
ENSMUSG00000032316,Clk3,,,0.5,0.9,,0.7,0.9,,1,0.5,0.7,0.6,,0.6,,,0.8,0.9,2,0.7,,0.5,0.8,2,0.6,0.5,,0.6,0.6,5,0.9,0.5,,0.6,
ENSMUSG00000032318,Isl2,,,,,,,,,0.6,,,,0.6,,,,,0.5,,,,3,,,1,,,2,,,4,,,2,0.5
ENSMUSG00000032320,Rcn2,19,31,21,11,18,35,45,9,76,49,77,88,33,51,9,6,27,92,94,29,12,57,199,15,110,8,21,13,18,15,18,40,22,18,62
ENSMUSG00000032322,Pstpip1,,,,0.9,,,,,,,,2,,,,,0.6,,,,,,,0.7,,0.5,,,,0.6,0.7,,,0.6,
ENSMUSG00000032323,Cyp11a1,1,4543,0.6,2,,,,,,,,,,,2,0.5,0.6,,,2928,,,,1,,,2,,263,,1,,19,,
ENSMUSG00000032324,Tspan3,24,29,45,11,167,46,47,142,81,50,68,81,15,52,292,123,17,87,40,26,23,54,15,18,84,9,40,18,5,11,31,29,15,21,24
